Period,Aircraft,Number of flights flown
2013-09-12 to 2013-09-14,1010 - A320,5
2013-09-26 to 2013-09-28,1011 - A319,6
2013-09-11 to 2013-09-13,1020 - A320,2
2013-09-09 to 2013-09-11,1039 - A320,9
2013-09-13 to 2013-09-15,1045 - A320,5
2013-09-22 to 2013-09-24,1076 - A319,5
2013-09-19 to 2013-09-21,1095 - A319,10
2013-09-06 to 2013-09-08,11 - A319,5
2013-09-26 to 2013-09-28,1107 - A320,12
2013-09-09 to 2013-09-11,1130 - A320,1
2013-09-16 to 2013-09-18,1148 - A320,8
2013-09-01 to 2013-09-03,1152 - A319,1
2013-09-26 to 2013-09-28,1187 - A319,4
2013-09-06 to 2013-09-08,1207 - A320,3
2013-09-28 to 2013-09-30,1208 - A319,12
2013-09-23 to 2013-09-25,1218 - A319,9
2013-09-02 to 2013-09-04,1223 - A319,9
2013-09-28 to 2013-09-30,1252 - A319,10
2013-09-08 to 2013-09-10,1267 - A319,17
2013-09-26 to 2013-09-28,1269 - A319,15
2013-09-22 to 2013-09-24,1271 - A319,13
2013-09-20 to 2013-09-22,1279 - A320,6
2013-09-16 to 2013-09-18,1296 - A319,6
2013-09-30 to 2013-10-02,1305 - A319,5
2013-09-10 to 2013-09-12,1308 - A319,6
2013-09-02 to 2013-09-04,132 - A319,5
2013-09-16 to 2013-09-18,1332 - A319,4
2013-09-16 to 2013-09-18,1364 - A320,4
2013-09-03 to 2013-09-05,1366 - A320,2
2013-09-03 to 2013-09-05,1370 - A319,5
2013-09-16 to 2013-09-18,1373 - A319,11
2013-09-01 to 2013-09-03,1378 - A319,5
2013-09-14 to 2013-09-16,1388 - A319,14
2013-09-25 to 2013-09-27,1396 - A319,7
2013-09-28 to 2013-09-30,1404 - A320,4
2013-09-15 to 2013-09-17,1462 - A319,5
2013-09-04 to 2013-09-06,1474 - A319,3
2013-09-15 to 2013-09-17,1488 - A319,17
2013-09-09 to 2013-09-11,1489 - A319,8
2013-09-05 to 2013-09-07,1495 - A319,10
2013-09-25 to 2013-09-27,1498 - A319,7
2013-09-04 to 2013-09-06,1512 - A320,3
2013-09-06 to 2013-09-08,1523 - A319,7
2013-09-25 to 2013-09-27,1539 - A320,2
2013-09-01 to 2013-09-03,154 - A319,15
2013-09-15 to 2013-09-17,1551 - A320,7
2013-09-25 to 2013-09-27,1552 - A319,6
2013-09-01 to 2013-09-03,1611 - A319,4
2013-09-18 to 2013-09-20,1625 - A320,5
2013-09-02 to 2013-09-04,1635 - A319,9
2013-09-22 to 2013-09-24,1664 - A319,11
2013-09-25 to 2013-09-27,1667 - A320,4
2013-09-05 to 2013-09-07,1693 - A319,11
2013-09-01 to 2013-09-03,1702 - A319,13
2013-09-19 to 2013-09-21,1710 - A320,4
2013-09-22 to 2013-09-24,1714 - A319,16
2013-09-24 to 2013-09-26,1719 - A320,9
2013-09-30 to 2013-10-02,1732 - A319,4
2013-09-01 to 2013-09-03,1736 - A320,5
2013-09-10 to 2013-09-12,1748 - A320,4
2013-09-29 to 2013-10-01,1750 - A319,11
2013-09-28 to 2013-09-30,1761 - A319,14
2013-09-18 to 2013-09-20,1776 - A319,9
2013-09-18 to 2013-09-20,1802 - A319,13
2013-09-01 to 2013-09-03,1813 - A320,2
2013-09-24 to 2013-09-26,1837 - A319,8
2013-09-12 to 2013-09-14,1843 - A319,14
2013-09-25 to 2013-09-27,1846 - A319,10
2013-09-17 to 2013-09-19,1862 - A319,15
2013-09-22 to 2013-09-24,1882 - A319,5
2013-09-02 to 2013-09-04,1898 - A319,11
2013-09-20 to 2013-09-22,1912 - A319,8
2013-09-03 to 2013-09-05,1923 - A319,13
2013-09-01 to 2013-09-03,1928 - A319,13
2013-09-10 to 2013-09-12,1929 - A319,15
2013-09-22 to 2013-09-24,1939 - A319,10
2013-09-27 to 2013-09-29,1943 - A320,1
2013-09-29 to 2013-10-01,1950 - A320,4
2013-09-09 to 2013-09-11,1972 - A319,3
2013-09-27 to 2013-09-29,1981 - A319,7
2013-09-26 to 2013-09-28,1989 - A319,22
2013-09-29 to 2013-10-01,2 - A320,3
2013-09-15 to 2013-09-17,2003 - A319,12
2013-09-03 to 2013-09-05,2019 - A319,8
2013-09-05 to 2013-09-07,2029 - A319,5
2013-09-25 to 2013-09-27,2047 - A320,13
2013-09-11 to 2013-09-13,2050 - A319,5
2013-09-29 to 2013-10-01,2051 - A319,5
2013-09-24 to 2013-09-26,2058 - A319,12
2013-09-29 to 2013-10-01,2061 - A319,14
2013-09-04 to 2013-09-06,207 - A319,3
2013-09-17 to 2013-09-19,2080 - A319,15
2013-09-03 to 2013-09-05,2099 - A320,2
2013-09-01 to 2013-09-03,2118 - A319,6
2013-09-04 to 2013-09-06,2127 - A320,4
2013-09-03 to 2013-09-05,2138 - A320,13
2013-09-05 to 2013-09-07,2169 - A319,6
2013-09-25 to 2013-09-27,22 - A319,12
2013-09-03 to 2013-09-05,2203 - A319,12
2013-09-28 to 2013-09-30,2205 - A320,5
2013-09-08 to 2013-09-10,2223 - A319,13
2013-09-04 to 2013-09-06,223 - A319,12
2013-09-05 to 2013-09-07,2230 - A320,4
2013-09-29 to 2013-10-01,2252 - A319,2
2013-09-10 to 2013-09-12,2260 - A320,2
2013-09-29 to 2013-10-01,2274 - A319,15
2013-09-25 to 2013-09-27,2288 - A319,12
2013-09-15 to 2013-09-17,2294 - A319,2
2013-09-17 to 2013-09-19,2302 - A320,6
2013-09-02 to 2013-09-04,2304 - A319,11
2013-09-16 to 2013-09-18,2306 - A319,12
2013-09-26 to 2013-09-28,2311 - A320,4
2013-09-19 to 2013-09-21,2313 - A319,10
2013-09-25 to 2013-09-27,2318 - A319,2
2013-09-12 to 2013-09-14,2333 - A320,8
2013-09-19 to 2013-09-21,2349 - A319,9
2013-09-26 to 2013-09-28,2358 - A319,13
2013-09-01 to 2013-09-03,2360 - A319,2
2013-09-04 to 2013-09-06,2362 - A319,13
2013-09-15 to 2013-09-17,2369 - A320,6
2013-09-27 to 2013-09-29,237 - A320,4
2013-09-21 to 2013-09-23,2378 - A319,5
2013-09-23 to 2013-09-25,2385 - A319,1
2013-09-08 to 2013-09-10,2397 - A320,3
2013-09-27 to 2013-09-29,256 - A319,8
2013-09-10 to 2013-09-12,271 - A319,7
2013-09-04 to 2013-09-06,29 - A319,15
2013-09-28 to 2013-09-30,311 - A319,7
2013-09-17 to 2013-09-19,32 - A319,10
2013-09-25 to 2013-09-27,323 - A320,3
2013-09-22 to 2013-09-24,329 - A320,6
2013-09-25 to 2013-09-27,333 - A319,14
2013-09-13 to 2013-09-15,347 - A319,10
2013-09-19 to 2013-09-21,360 - A319,5
2013-09-24 to 2013-09-26,366 - A319,13
2013-09-22 to 2013-09-24,367 - A319,10
2013-09-17 to 2013-09-19,372 - A320,5
2013-09-02 to 2013-09-04,380 - A320,2
2013-09-28 to 2013-09-30,381 - A320,3
2013-09-01 to 2013-09-03,403 - A320,10
2013-09-01 to 2013-09-03,457 - A319,10
2013-09-11 to 2013-09-13,467 - A320,12
2013-09-19 to 2013-09-21,5 - A319,13
2013-09-08 to 2013-09-10,525 - A319,4
2013-09-01 to 2013-09-03,538 - A319,14
2013-09-24 to 2013-09-26,549 - A319,9
2013-09-12 to 2013-09-14,56 - A319,13
2013-09-24 to 2013-09-26,572 - A320,5
2013-09-15 to 2013-09-17,577 - A319,4
2013-09-18 to 2013-09-20,578 - A319,3
2013-09-29 to 2013-10-01,579 - A319,2
2013-09-25 to 2013-09-27,585 - A319,10
2013-09-05 to 2013-09-07,589 - A320,11
2013-09-28 to 2013-09-30,590 - A320,3
2013-09-10 to 2013-09-12,594 - A319,17
2013-09-08 to 2013-09-10,600 - A319,2
2013-09-09 to 2013-09-11,601 - A319,3
2013-09-19 to 2013-09-21,603 - A319,7
2013-09-19 to 2013-09-21,623 - A320,11
2013-09-14 to 2013-09-16,628 - A320,2
2013-09-23 to 2013-09-25,640 - A319,6
2013-09-22 to 2013-09-24,658 - A319,8
2013-09-29 to 2013-10-01,663 - A319,10
2013-09-08 to 2013-09-10,670 - A319,7
2013-09-29 to 2013-10-01,690 - A319,10
2013-09-08 to 2013-09-10,732 - A319,8
2013-09-09 to 2013-09-11,759 - A319,10
2013-09-14 to 2013-09-16,760 - A319,9
2013-09-08 to 2013-09-10,773 - A319,14
2013-09-01 to 2013-09-03,777 - A320,2
2013-09-19 to 2013-09-21,781 - A319,11
2013-09-01 to 2013-09-03,794 - A319,7
2013-09-07 to 2013-09-09,806 - A319,1
2013-09-01 to 2013-09-03,851 - A319,6
2013-09-08 to 2013-09-10,855 - A319,17
2013-09-29 to 2013-10-01,859 - A319,3
2013-09-16 to 2013-09-18,860 - A319,2
2013-09-22 to 2013-09-24,887 - A319,10
2013-09-15 to 2013-09-17,888 - A319,8
2013-09-01 to 2013-09-03,897 - A319,12
2013-09-17 to 2013-09-19,912 - A320,2
2013-09-04 to 2013-09-06,92 - A319,15
2013-09-11 to 2013-09-13,929 - A319,9
2013-09-25 to 2013-09-27,930 - A319,6
2013-09-04 to 2013-09-06,949 - A319,2
2013-09-23 to 2013-09-25,955 - A319,11
2013-09-04 to 2013-09-06,970 - A320,7
2013-09-26 to 2013-09-28,971 - A319,16
2013-09-26 to 2013-09-28,973 - A319,10
2013-09-09 to 2013-09-11,984 - A320,6
2013-09-20 to 2013-09-22,989 - A319,5
